speciesId	species	n_bulk_libraries	n_sc_libraries	n_total_libraries
379532	propithecus_coquereli	4	0	4
64144	anabas_testudineus	4	0	4
7091	bombyx_mori	4	0	4
7668	strongylocentrotus_purpuratus	4	0	4
8630	laticauda_laticaudata	4	0	4
1041015	drosophila_rhopaloa	3	0	3
126957	strigamia_maritima	3	0	3
29029	drosophila_eugracilis	3	0	3
30025	drosophila_ficusphila	3	0	3
40217	junco_hyemalis	3	0	3
6728	procambarus_clarkii	3	0	3
8022	oncorhynchus_mykiss	3	0	3
8475	chelydra_serpentina	3	0	3
109280	hippocampus_comes	2	0	2
13249	rhodnius_prolixus	2	0	2
2489341	strigops_habroptila	2	0	2
8508	sphenodon_punctatus	2	0	2
8663	notechis_scutatus	2	0	2
9771	balaenoptera_musculus	2	0	2
108931	nilaparvata_lugens	1	0	1
158441	folsomia_candida	1	0	1
161013	thrips_palmi	1	0	1
205130	mastacembelus_armatus	1	0	1
211598	accipiter_nisus	1	0	1
222816	orussus_abietinus	1	0	1
328815	manacus_vitellinus	1	0	1
367368	pelusios_castaneus	1	0	1
44316	erythrura_gouldiae	1	0	1
46794	drosophila_tropicalis	1	0	1
48698	poecilia_formosa	1	0	1
48701	poecilia_mexicana	1	0	1
7243	drosophila_teissieri	1	0	1
